No,Player,Age,Pos,G,GS,Wt,Ht,BirthDate,Yrs,AV,Team,Year
34.0,A Bouye,22,DB,6,0.0,191.0,72.0,8/16/1991,0,0,HTX,2013.0
50.0,B Braman,26,LB,16,0.0,230.0,77.0,5/4/1987,2,1,HTX,2013.0
79.0,B Brooks,24,GC,15,15.0,335.0,77.0,8/19/1989,1,6,HTX,2013.0
76.0,D Brown,28,T,14,14.0,315.0,76.0,8/30/1985,5,7,HTX,2013.0
4.0,R Bullock,24,PK,16,0.0,210.0,69.0,12/16/1989,1,1,HTX,2013.0
89.0,J Byrne,23,TE,7,0.0,260.0,76.0,1/24/1990,1,0,HTX,2013.0
93.0,J Crick,24,DT,16,1.0,285.0,76.0,8/21/1989,1,2,HTX,2013.0
56.0,B Cushing,26,LB,7,7.0,255.0,75.0,1/24/1987,4,4,HTX,2013.0
81.0,O Daniels,31,TE,5,5.0,245.0,75.0,11/9/1982,7,1,HTX,2013.0
52.0,T Dobbins,31,LB,3,0.0,234.0,73.0,12/10/1982,7,0,HTX,2013.0
23.0,A Foster,27,RB,8,8.0,227.0,73.0,8/24/1986,4,3,HTX,2013.0
66.0,A Gardner,27,T,3,0.0,304.0,79.0,4/4/1986,4,0,HTX,2013.0
52.0,T Gooden,29,LB,1,0.0,233.0,73.0,10/7/1984,5,0,HTX,2013.0
88.0,G Graham,27,TE,13,11.0,245.0,75.0,8/4/1986,3,3,HTX,2013.0
37.0,R Graham,23,RB,1,0.0,199.0,69.0,9/18/1990,0,0,HTX,2013.0
84.0,R Griffin,23,TE,15,8.0,255.0,78.0,1/11/1990,0,1,HTX,2013.0
41.0,J Grimes,24,RB,2,1.0,207.0,70.0,12/21/1989,1,1,HTX,2013.0
26.0,B Harris,23,DB,16,0.0,195.0,71.0,1/24/1990,2,1,HTX,2013.0
68.0,R Harris,28,T,16,3.0,299.0,77.0,3/11/1985,6,2,HTX,2013.0
10.0,D Hopkins,21,WR,16,16.0,212.0,73.0,6/6/1992,0,5,HTX,2013.0
25.0,K Jackson,25,DB,14,14.0,183.0,70.0,4/10/1988,3,5,HTX,2013.0
96.0,T Jamison,27,DE,5,0.0,263.0,75.0,2/26/1986,4,0,HTX,2013.0
18.0,L Jean,25,WR,13,0.0,215.0,75.0,2/5/1988,2,0,HTX,2013.0
54.0,W Jefferson,22,LB,6,0.0,233.0,77.0,1/31/1991,0,0,HTX,2013.0
80.0,A Johnson,32,WR,16,16.0,229.0,75.0,7/11/1981,10,8,HTX,2013.0
28.0,D Johnson,23,RB,8,1.0,212.0,68.0,2/24/1990,0,1,HTX,2013.0
60.0,B Jones,24,GC,16,1.0,308.0,75.0,7/2/1989,1,1,HTX,2013.0
33.0,G Jones,32,RB,16,5.0,265.0,73.0,5/9/1981,9,0,HTX,2013.0
24.0,J Joseph,29,DB,15,15.0,186.0,71.0,4/16/1984,7,6,HTX,2013.0
39.0,D Karim,27,RB,7,0.0,200.0,71.0,11/18/1986,3,0,HTX,2013.0
7.0,C Keenum,25,QB,8,8.0,215.0,73.0,2/17/1988,1,4,HTX,2013.0
31.0,S Keo,26,DB,16,11.0,223.0,71.0,12/17/1987,2,4,HTX,2013.0
9.0,S Lechler,37,PK,16,0.0,230.0,74.0,8/7/1976,13,3,HTX,2013.0
43.0,E Mack,27,DB,8,0.0,175.0,70.0,7/14/1986,5,0,HTX,2013.0
38.0,D Manning,31,DB,6,6.0,212.0,71.0,8/9/1982,7,2,HTX,2013.0
82.0,K Martin,23,WR,16,1.0,190.0,70.0,3/15/1990,1,2,HTX,2013.0
53.0,J Mays,28,LB,14,13.0,245.0,71.0,7/6/1985,5,6,HTX,2013.0
21.0,B McCain,27,DB,16,4.0,190.0,69.0,12/10/1986,4,2,HTX,2013.0
97.0,T McClain,25,DL,16,0.0,300.0,74.0,7/20/1988,2,2,HTX,2013.0
59.0,W Mercilus,23,DE,16,16.0,258.0,76.0,7/21/1990,1,7,HTX,2013.0
92.0,E Mitchell,26,DT,16,14.0,310.0,75.0,9/25/1987,3,6,HTX,2013.0
90.0,M Mohamed,25,LB,8,0.0,238.0,74.0,3/11/1988,2,1,HTX,2013.0
55.0,C Myers,32,GC,16,16.0,286.0,76.0,9/15/1981,8,6,HTX,2013.0
75.0,D Newton,26,T,16,16.0,315.0,78.0,11/16/1987,2,6,HTX,2013.0
35.0,E Pleasant,25,S,16,1.0,210.0,70.0,12/17/1988,1,1,HTX,2013.0
11.0,D Posey,23,WR,14,0.0,214.0,73.0,3/15/1990,1,1,HTX,2013.0
58.0,B Reed,26,DL,16,16.0,254.0,75.0,2/28/1987,2,7,HTX,2013.0
20.0,E Reed,35,DB,7,5.0,205.0,71.0,9/11/1978,11,2,HTX,2013.0
20.0,J Rogers,25,DB,1,0.0,180.0,71.0,1/16/1988,2,0,HTX,2013.0
91.0,R Sapp,27,LB,5,0.0,244.0,76.0,11/14/1986,2,0,HTX,2013.0
8.0,M Schaub,32,QB,10,8.0,245.0,78.0,6/25/1981,9,3,HTX,2013.0
51.0,D Sharpton,25,LB,15,8.0,229.0,72.0,1/1/1988,3,4,HTX,2013.0
47.0,B Smelley,24,TE,2,0.0,237.0,74.0,5/20/1989,1,0,HTX,2013.0
94.0,A Smith,32,DE,15,15.0,290.0,75.0,10/21/1981,9,7,HTX,2013.0
90.0,D Smith,24,LB,1,0.0,239.0,71.0,2/24/1989,2,0,HTX,2013.0
74.0,W Smith,32,T,16,16.0,295.0,76.0,4/26/1981,10,6,HTX,2013.0
32.0,C Spann,25,RB,1,0.0,198.0,69.0,8/8/1988,2,0,HTX,2013.0
29.0,J Starling,22,S,2,0.0,202.0,73.0,6/21/1991,0,0,HTX,2013.0
48.0,P Supernaw,23,TE,1,0.0,255.0,77.0,1/30/1990,1,0,HTX,2013.0
36.0,D Swearinger,22,S,16,10.0,205.0,70.0,9/1/1991,0,4,HTX,2013.0
52.0,J Tarpinian,26,LB,8,3.0,238.0,75.0,10/16/1987,2,2,HTX,2013.0
44.0,B Tate,25,RB,14,7.0,214.0,71.0,8/21/1988,2,4,HTX,2013.0
95.0,J Tuggle,23,LB,15,1.0,244.0,75.0,1/14/1990,0,1,HTX,2013.0
27.0,J Victorian,25,DB,8,0.0,190.0,70.0,7/10/1988,1,0,HTX,2013.0
99.0,J Watt,24,DE,16,16.0,288.0,77.0,3/22/1989,2,17,HTX,2013.0
46.0,J Weeks,27,GC,16,0.0,242.0,70.0,2/17/1986,3,1,HTX,2013.0
67.0,C White,25,GC,1,0.0,301.0,75.0,7/1/1988,1,0,HTX,2013.0
41.0,C Wood,22,RB,3,0.0,213.0,71.0,2/21/1991,0,0,HTX,2013.0
13.0,T Yates,26,QB,3,0.0,215.0,76.0,5/28/1987,2,0,HTX,2013.0
70.0,J Adams,25,T,2,0.0,305.0,77.0,9/6/1989,2,0,HTX,2014.0
91.0,J Ankrah,23,LB,2,0.0,262.0,75.0,2/28/1991,0,0,HTX,2014.0
37.0,J Aubrey,23,DB,2,0.0,200.0,70.0,4/9/1991,1,0,HTX,2014.0
28.0,A Blue,23,RB,16,3.0,225.0,74.0,4/27/1991,0,4,HTX,2014.0
34.0,A Bouye,23,DB,14,6.0,191.0,72.0,8/16/1991,1,4,HTX,2014.0
79.0,B Brooks,25,GC,15,15.0,335.0,77.0,8/19/1989,2,7,HTX,2014.0
76.0,D Brown,29,T,16,16.0,315.0,76.0,8/30/1985,6,10,HTX,2014.0
22.0,R Brown,33,RB,3,0.0,223.0,72.0,12/12/1981,9,0,HTX,2014.0
98.0,K Browner,26,DE,3,0.0,276.0,76.0,4/7/1988,2,0,HTX,2014.0
4.0,R Bullock,25,PK,16,0.0,210.0,69.0,12/16/1989,2,3,HTX,2014.0
53.0,M Bullough,22,LB,1,0.0,249.0,76.0,2/11/1992,0,0,HTX,2014.0
74.0,T Clabo,33,T,16,0.0,315.0,78.0,10/17/1981,8,1,HTX,2014.0
90.0,J Clowney,21,DE,4,2.0,255.0,77.0,2/14/1993,0,1,HTX,2014.0
93.0,J Crick,25,DT,16,15.0,285.0,76.0,8/21/1989,2,8,HTX,2014.0
56.0,B Cushing,27,LB,14,14.0,255.0,75.0,1/24/1987,5,7,HTX,2014.0
81.0,A Denham,23,TE,4,0.0,235.0,76.0,7/21/1991,0,0,HTX,2014.0
50.0,A Dent,27,LB,15,7.0,242.0,73.0,9/27/1987,3,4,HTX,2014.0
91.0,Z Diles,29,LB,1,0.0,240.0,72.0,6/11/1985,7,0,HTX,2014.0
87.0,C Fiedorowicz,23,TE,15,8.0,265.0,77.0,10/22/1991,0,0,HTX,2014.0
14.0,R Fitzpatrick,32,QB,12,12.0,221.0,74.0,11/24/1982,9,8,HTX,2014.0
23.0,A Foster,28,RB,13,13.0,227.0,73.0,8/24/1986,5,10,HTX,2014.0
88.0,G Graham,28,TE,11,9.0,245.0,75.0,8/4/1986,4,2,HTX,2014.0
84.0,R Griffin,24,TE,16,2.0,255.0,78.0,1/11/1990,1,1,HTX,2014.0
41.0,J Grimes,25,RB,16,0.0,207.0,70.0,12/21/1989,2,2,HTX,2014.0
29.0,A Hal,22,DB,14,0.0,184.0,70.0,5/30/1992,0,1,HTX,2014.0
10.0,D Hopkins,22,WR,16,16.0,212.0,73.0,6/6/1992,1,10,HTX,2014.0
25.0,K Jackson,26,DB,13,13.0,183.0,70.0,4/10/1988,4,5,HTX,2014.0
96.0,T Jamison,28,DE,13,1.0,263.0,75.0,2/26/1986,5,2,HTX,2014.0
80.0,A Johnson,33,WR,15,15.0,229.0,75.0,7/11/1981,11,8,HTX,2014.0
13.0,D Johnson,25,WR,16,8.0,175.0,68.0,11/22/1989,2,3,HTX,2014.0
60.0,B Jones,25,GC,16,16.0,308.0,75.0,7/2/1989,2,8,HTX,2014.0
24.0,J Joseph,30,DB,16,16.0,186.0,71.0,4/16/1984,8,7,HTX,2014.0
7.0,C Keenum,26,QB,2,2.0,215.0,73.0,2/17/1988,2,1,HTX,2014.0
9.0,S Lechler,38,PK,16,0.0,230.0,74.0,8/7/1976,14,3,HTX,2014.0
21.0,K Lewis,26,DB,16,16.0,205.0,72.0,6/16/1988,4,7,HTX,2014.0
43.0,E Mack,28,DB,8,0.0,175.0,70.0,7/14/1986,6,0,HTX,2014.0
15.0,R Mallett,26,QB,3,2.0,240.0,78.0,6/5/1988,3,1,HTX,2014.0
38.0,D Manning,32,DB,16,5.0,212.0,71.0,8/9/1982,8,3,HTX,2014.0
82.0,K Martin,24,WR,16,0.0,190.0,70.0,3/15/1990,2,1,HTX,2014.0
59.0,W Mercilus,24,DE,15,13.0,258.0,76.0,7/21/1990,2,7,HTX,2014.0
54.0,M Mohamed,26,LB,14,2.0,238.0,74.0,3/11/1988,3,3,HTX,2014.0
26.0,D Morris,24,DB,11,1.0,188.0,70.0,9/4/1990,1,1,HTX,2014.0
55.0,C Myers,33,GC,16,16.0,286.0,76.0,9/15/1981,9,8,HTX,2014.0
75.0,D Newton,27,T,16,16.0,315.0,78.0,11/16/1987,3,8,HTX,2014.0
97.0,J Pagan,21,DE,16,0.0,310.0,76.0,6/10/1993,0,1,HTX,2014.0
94.0,R Pickett,35,DT,13,13.0,338.0,74.0,10/8/1979,13,6,HTX,2014.0
35.0,E Pleasant,26,S,14,0.0,210.0,70.0,12/17/1988,2,1,HTX,2014.0
11.0,D Posey,24,WR,1,1.0,214.0,73.0,3/15/1990,2,0,HTX,2014.0
95.0,J Powe,27,DL,16,3.0,330.0,74.0,3/15/1987,3,3,HTX,2014.0
45.0,J Prosch,22,FB,16,5.0,255.0,73.0,8/21/1992,0,0,HTX,2014.0
58.0,B Reed,27,DL,16,13.0,254.0,75.0,2/28/1987,3,7,HTX,2014.0
20.0,J Rolle,24,DB,10,0.0,188.0,72.0,5/28/1990,1,1,HTX,2014.0
91.0,R Sapp,28,LB,3,0.0,244.0,76.0,11/14/1986,3,0,HTX,2014.0
3.0,T Savage,24,QB,2,0.0,230.0,76.0,4/26/1990,0,0,HTX,2014.0
51.0,J Simon,24,DE,11,0.0,260.0,74.0,10/14/1990,1,1,HTX,2014.0
71.0,X Su'a-Filo,23,OG,13,1.0,312.0,76.0,1/1/1991,0,1,HTX,2014.0
36.0,D Swearinger,23,S,16,12.0,205.0,70.0,9/1/1991,1,5,HTX,2014.0
52.0,J Tarpinian,27,LB,14,0.0,238.0,75.0,10/16/1987,3,1,HTX,2014.0
57.0,J Tuggle,24,LB,16,8.0,244.0,75.0,1/14/1990,1,5,HTX,2014.0
99.0,J Watt,25,DE,16,16.0,288.0,77.0,3/22/1989,3,23,HTX,2014.0
46.0,J Weeks,28,GC,16,0.0,242.0,70.0,2/17/1986,4,1,HTX,2014.0
78.0,O Aboushi,24,T,7,5.0,308.0,77.0,6/5/1991,2,2,HTX,2015.0
70.0,J Adams,26,T,2,2.0,305.0,77.0,9/6/1989,3,1,HTX,2015.0
39.0,L Ballentine,22,S,2,0.0,225.0,75.0,4/23/1993,1,0,HTX,2015.0
28.0,A Blue,24,RB,16,9.0,225.0,74.0,4/27/1991,1,5,HTX,2015.0
34.0,A Bouye,24,DB,15,2.0,191.0,72.0,8/16/1991,2,2,HTX,2015.0
79.0,B Brooks,26,GC,14,14.0,335.0,77.0,8/19/1989,3,6,HTX,2015.0
76.0,D Brown,30,T,14,14.0,315.0,76.0,8/30/1985,7,6,HTX,2015.0
4.0,R Bullock,26,PK,3,0.0,210.0,69.0,12/16/1989,3,0,HTX,2015.0
53.0,M Bullough,23,LB,13,1.0,249.0,76.0,2/11/1992,1,2,HTX,2015.0
74.0,C Clark,30,T,11,4.0,305.0,77.0,10/1/1985,5,2,HTX,2015.0
90.0,J Clowney,22,DE,13,9.0,255.0,77.0,2/14/1993,1,5,HTX,2015.0
95.0,C Covington,22,DT,15,0.0,289.0,74.0,10/16/1993,0,2,HTX,2015.0
93.0,J Crick,26,DT,16,16.0,285.0,76.0,8/21/1989,3,10,HTX,2015.0
56.0,B Cushing,28,LB,16,16.0,255.0,75.0,1/24/1987,6,9,HTX,2015.0
2.0,B Daniels,27,QB,2,0.0,217.0,71.0,10/24/1988,2,0,HTX,2015.0
27.0,Q Demps,30,DB,14,13.0,203.0,72.0,6/29/1985,7,6,HTX,2015.0
0,A Denham,24,TE,1,0.0,235.0,76.0,7/21/1991,1,0,HTX,2015.0
50.0,A Dent,28,LB,12,2.0,242.0,73.0,9/27/1987,4,2,HTX,2015.0
40.0,K Drummond,23,S,9,0.0,200.0,73.0,1/29/1992,0,1,HTX,2015.0
92.0,B Dunn,23,DT,11,0.0,310.0,74.0,9/5/1992,1,1,HTX,2015.0
87.0,C Fiedorowicz,24,TE,16,14.0,265.0,77.0,10/22/1991,1,1,HTX,2015.0
23.0,A Foster,29,RB,4,4.0,227.0,73.0,8/24/1986,6,3,HTX,2015.0
88.0,G Graham,29,TE,8,2.0,245.0,75.0,8/4/1986,5,0,HTX,2015.0
84.0,R Griffin,25,TE,9,4.0,255.0,78.0,1/11/1990,2,2,HTX,2015.0
41.0,J Grimes,26,RB,14,0.0,207.0,70.0,12/21/1989,3,3,HTX,2015.0
29.0,A Hal,23,DB,16,11.0,184.0,70.0,5/30/1992,1,6,HTX,2015.0
10.0,D Hopkins,23,WR,16,16.0,212.0,73.0,6/6/1992,2,11,HTX,2015.0
7.0,B Hoyer,30,QB,11,9.0,216.0,74.0,10/13/1985,6,7,HTX,2015.0
33.0,A Hunt,22,RB,7,1.0,185.0,70.0,2/22/1993,0,1,HTX,2015.0
25.0,K Jackson,27,DB,12,10.0,183.0,70.0,4/10/1988,5,5,HTX,2015.0
31.0,C James,25,DB,9,1.0,179.0,69.0,5/14/1990,2,1,HTX,2015.0
30.0,K Johnson,23,DB,16,10.0,185.0,72.0,8/5/1992,0,5,HTX,2015.0
60.0,B Jones,26,GC,16,16.0,308.0,75.0,7/2/1989,3,7,HTX,2015.0
24.0,J Joseph,31,DB,16,16.0,186.0,71.0,4/16/1984,9,7,HTX,2015.0
63.0,K Lamm,23,T,15,4.0,310.0,77.0,6/5/1992,0,3,HTX,2015.0
9.0,S Lechler,39,PK,16,0.0,230.0,74.0,8/7/1976,15,3,HTX,2015.0
15.0,R Mallett,27,QB,6,4.0,240.0,78.0,6/5/1988,4,2,HTX,2015.0
65.0,G Mancz,23,GC,3,0.0,302.0,76.0,4/23/1992,0,0,HTX,2015.0
55.0,B McKinney,23,LB,14,11.0,257.0,76.0,11/19/1992,0,6,HTX,2015.0
59.0,W Mercilus,25,DE,16,10.0,258.0,76.0,7/21/1990,3,7,HTX,2015.0
43.0,C Moore,22,S,1,0.0,200.0,74.0,1/28/1993,0,0,HTX,2015.0
26.0,R Moore,25,S,7,6.0,195.0,73.0,2/11/1990,4,3,HTX,2015.0
21.0,D Morris,25,DB,12,0.0,188.0,70.0,9/4/1990,2,1,HTX,2015.0
12.0,K Mumphery,23,WR,16,3.0,215.0,72.0,6/5/1992,0,1,HTX,2015.0
72.0,D Newton,28,T,16,16.0,315.0,78.0,11/16/1987,4,7,HTX,2015.0
8.0,N Novak,34,PK,13,0.0,200.0,72.0,8/21/1981,10,3,HTX,2015.0
97.0,J Pagan,22,DE,6,0.0,310.0,76.0,6/10/1993,1,0,HTX,2015.0
52.0,B Peters,27,LB,12,0.0,237.0,76.0,10/31/1988,0,1,HTX,2015.0
35.0,E Pleasant,27,S,16,0.0,210.0,70.0,12/17/1988,3,2,HTX,2015.0
22.0,C Polk,26,RB,15,2.0,224.0,70.0,12/16/1989,3,3,HTX,2015.0
45.0,J Prosch,23,FB,16,2.0,255.0,73.0,8/21/1992,1,0,HTX,2015.0
20.0,J Rolle,25,DB,8,0.0,188.0,72.0,5/28/1990,2,1,HTX,2015.0
18.0,C Shorts,28,WR,11,4.0,200.0,72.0,12/22/1987,4,4,HTX,2015.0
51.0,J Simon,25,DE,16,8.0,260.0,74.0,10/14/1990,2,6,HTX,2015.0
11.0,J Strong,21,WR,10,1.0,220.0,74.0,1/25/1994,0,1,HTX,2015.0
71.0,X Su'a-Filo,24,OG,11,9.0,312.0,76.0,1/1/1991,1,4,HTX,2015.0
44.0,C Thompson,23,LB,2,0.0,250.0,77.0,2/16/1992,0,0,HTX,2015.0
57.0,J Tuggle,25,LB,11,2.0,244.0,75.0,1/14/1990,2,2,HTX,2015.0
85.0,N Washington,32,WR,14,14.0,183.0,73.0,8/28/1983,10,5,HTX,2015.0
99.0,J Watt,26,DE,16,16.0,288.0,77.0,3/22/1989,4,21,HTX,2015.0
5.0,B Weeden,32,QB,2,1.0,227.0,75.0,10/14/1983,3,1,HTX,2015.0
46.0,J Weeks,29,GC,16,0.0,242.0,70.0,2/17/1986,5,4,HTX,2015.0
75.0,V Wilfork,34,DT,16,16.0,325.0,74.0,11/4/1981,11,8,HTX,2015.0
13.0,C Worthy,22,WR,3,0.0,173.0,69.0,9/15/1993,0,0,HTX,2015.0
6.0,T Yates,28,QB,4,2.0,215.0,76.0,5/28/1987,4,1,HTX,2015.0
78.0,O Aboushi,25,T,4,3.0,308.0,77.0,6/5/1991,3,1,HTX,2016.0
79.0,J Allen,26,T,14,14.0,306.0,76.0,1/8/1990,4,5,HTX,2016.0
89.0,S Anderson,23,TE,13,0.0,230.0,75.0,1/30/1993,0,1,HTX,2016.0
39.0,L Ballentine,23,S,2,0.0,225.0,75.0,4/23/1993,2,0,HTX,2016.0
68.0,T Bergstrom,30,T,15,0.0,310.0,77.0,8/8/1986,4,1,HTX,2016.0
28.0,A Blue,25,RB,14,2.0,225.0,74.0,4/27/1991,2,3,HTX,2016.0
21.0,A Bouye,25,DB,15,11.0,191.0,72.0,8/16/1991,3,4,HTX,2016.0
76.0,D Brown,31,T,12,12.0,315.0,76.0,8/30/1985,8,5,HTX,2016.0
53.0,M Bullough,24,LB,16,3.0,249.0,76.0,2/11/1992,2,3,HTX,2016.0
74.0,C Clark,31,T,16,14.0,305.0,77.0,10/1/1985,6,6,HTX,2016.0
90.0,J Clowney,23,DE,14,14.0,255.0,77.0,2/14/1993,2,14,HTX,2016.0
95.0,C Covington,23,DT,16,5.0,289.0,74.0,10/16/1993,1,4,HTX,2016.0
56.0,B Cushing,29,LB,13,13.0,255.0,75.0,1/24/1987,7,6,HTX,2016.0
27.0,Q Demps,31,DB,13,13.0,203.0,72.0,6/29/1985,8,5,HTX,2016.0
50.0,A Dent,29,LB,16,3.0,242.0,73.0,9/27/1987,5,2,HTX,2016.0
36.0,K Dillon,22,S,5,0.0,200.0,72.0,5/11/1994,0,0,HTX,2016.0
92.0,B Dunn,24,DT,2,0.0,310.0,74.0,9/5/1992,2,0,HTX,2016.0
34.0,T Ervin,23,RB,12,0.0,185.0,70.0,10/7/1993,0,0,HTX,2016.0
87.0,C Fiedorowicz,25,TE,15,15.0,265.0,77.0,10/22/1991,2,4,HTX,2016.0
15.0,W Fuller,22,WR,14,13.0,184.0,73.0,4/16/1994,0,6,HTX,2016.0
84.0,R Griffin,26,TE,16,5.0,255.0,78.0,1/11/1990,3,3,HTX,2016.0
41.0,J Grimes,27,RB,10,0.0,207.0,70.0,12/21/1989,4,1,HTX,2016.0
29.0,A Hal,24,DB,15,11.0,184.0,70.0,5/30/1992,2,4,HTX,2016.0
93.0,J Heath,23,DE,12,6.0,300.0,78.0,6/18/1993,0,3,HTX,2016.0
10.0,D Hopkins,24,WR,16,16.0,212.0,73.0,6/6/1992,3,7,HTX,2016.0
33.0,A Hunt,23,RB,8,0.0,185.0,70.0,2/22/1993,1,1,HTX,2016.0
25.0,K Jackson,28,DB,14,13.0,183.0,70.0,4/10/1988,6,5,HTX,2016.0
31.0,C James,26,DB,12,0.0,179.0,69.0,5/14/1990,3,1,HTX,2016.0
30.0,K Johnson,24,DB,6,3.0,185.0,72.0,8/5/1992,1,1,HTX,2016.0
20.0,D Jones,26,S,9,0.0,195.0,71.0,5/14/1990,3,0,HTX,2016.0
24.0,J Joseph,32,DB,13,11.0,186.0,71.0,4/16/1984,10,4,HTX,2016.0
97.0,U Kamalu,24,DE,4,1.0,295.0,78.0,11/2/1992,0,1,HTX,2016.0
63.0,K Lamm,24,T,15,3.0,310.0,77.0,6/5/1992,1,2,HTX,2016.0
9.0,S Lechler,40,PK,16,0.0,230.0,74.0,8/7/1976,16,3,HTX,2016.0
65.0,G Mancz,24,GC,16,16.0,302.0,76.0,4/23/1992,1,6,HTX,2016.0
55.0,B McKinney,24,LB,16,16.0,257.0,76.0,11/19/1992,1,14,HTX,2016.0
59.0,W Mercilus,26,DE,15,15.0,258.0,76.0,7/21/1990,4,14,HTX,2016.0
13.0,B Miller,24,WR,10,6.0,215.0,74.0,11/30/1992,0,1,HTX,2016.0
26.0,L Miller,25,RB,14,14.0,221.0,70.0,4/25/1991,4,7,HTX,2016.0
43.0,C Moore,23,S,16,8.0,200.0,74.0,1/28/1993,1,3,HTX,2016.0
12.0,K Mumphery,24,WR,11,3.0,215.0,72.0,6/5/1992,1,1,HTX,2016.0
32.0,R Nelson,26,S,11,0.0,175.0,69.0,2/16/1990,2,1,HTX,2016.0
72.0,D Newton,29,T,6,6.0,315.0,78.0,11/16/1987,5,2,HTX,2016.0
8.0,N Novak,35,PK,16,0.0,200.0,72.0,8/21/1981,11,3,HTX,2016.0
17.0,B Osweiler,26,QB,15,14.0,240.0,79.0,11/22/1990,4,5,HTX,2016.0
52.0,B Peters,28,LB,12,0.0,237.0,76.0,10/31/1988,1,1,HTX,2016.0
35.0,E Pleasant,28,S,14,0.0,210.0,70.0,12/17/1988,4,1,HTX,2016.0
45.0,J Prosch,24,FB,15,1.0,255.0,73.0,8/21/1992,2,0,HTX,2016.0
98.0,D Reader,22,DT,16,7.0,347.0,75.0,7/1/1994,0,4,HTX,2016.0
22.0,D Rice,23,DB,3,0.0,185.0,72.0,3/31/1993,1,0,HTX,2016.0
3.0,T Savage,26,QB,3,2.0,230.0,76.0,4/26/1990,2,1,HTX,2016.0
57.0,B Scarlett,23,LB,7,0.0,263.0,76.0,7/31/1993,0,1,HTX,2016.0
37.0,A Shabazz,24,DB,1,0.0,200.0,74.0,8/2/1992,0,0,HTX,2016.0
51.0,J Simon,26,DE,11,5.0,260.0,74.0,10/14/1990,3,4,HTX,2016.0
94.0,A Smith,35,DE,13,0.0,290.0,75.0,10/21/1981,12,1,HTX,2016.0
91.0,D Still,27,DT,3,0.0,305.0,77.0,7/11/1989,4,0,HTX,2016.0
11.0,J Strong,22,WR,8,2.0,220.0,74.0,1/25/1994,1,1,HTX,2016.0
71.0,X Su'a-Filo,25,OG,16,15.0,312.0,76.0,1/1/1991,2,6,HTX,2016.0
73.0,J Walker,25,GC,2,0.0,330.0,77.0,6/2/1991,2,0,HTX,2016.0
99.0,J Watt,27,DE,3,3.0,288.0,77.0,3/22/1989,5,2,HTX,2016.0
46.0,J Weeks,30,GC,16,0.0,242.0,70.0,2/17/1986,6,1,HTX,2016.0
75.0,V Wilfork,35,DT,15,15.0,325.0,74.0,11/4/1981,12,7,HTX,2016.0
82.0,W Williams,26,WR,3,0.0,185.0,70.0,9/18/1990,0,1,HTX,2016.0
79.0,J Allen,27,T,12,12.0,306.0,76.0,1/8/1990,5,5,HTX,2017.0
89.0,S Anderson,24,TE,15,5.0,230.0,75.0,1/30/1993,1,3,HTX,2017.0
33.0,J Banks,28,DB,3,1.0,185.0,74.0,10/3/1989,4,0,HTX,2017.0
81.0,E Baylis,24,TE,1,0.0,250.0,77.0,11/18/1993,0,0,HTX,2017.0
97.0,A Blackson,25,DT,9,1.0,315.0,76.0,11/14/1992,2,1,HTX,2017.0
28.0,A Blue,26,RB,11,0.0,225.0,74.0,4/27/1991,3,2,HTX,2017.0
76.0,D Brown,32,T,1,1.0,315.0,76.0,8/30/1985,9,1,HTX,2017.0
20.0,M Burley,27,DB,5,0.0,190.0,70.0,7/16/1990,4,0,HTX,2017.0
39.0,I Campbell,25,S,1,0.0,210.0,71.0,5/13/1992,2,0,HTX,2017.0
74.0,C Clark,32,T,10,8.0,305.0,77.0,10/1/1985,7,4,HTX,2017.0
96.0,C Clements,23,DT,2,0.0,301.0,74.0,12/3/1994,0,0,HTX,2017.0
90.0,J Clowney,24,DE,16,16.0,255.0,77.0,2/14/1993,3,10,HTX,2017.0
51.0,D Cole,23,LB,12,1.0,237.0,72.0,5/19/1994,0,2,HTX,2017.0
95.0,C Covington,24,DT,7,2.0,289.0,74.0,10/16/1993,2,1,HTX,2017.0
36.0,M Cromartie,27,DB,1,0.0,195.0,72.0,12/3/1990,4,0,HTX,2017.0
41.0,Z Cunningham,23,LB,16,13.0,238.0,75.0,12/2/1994,0,6,HTX,2017.0
56.0,B Cushing,30,LB,5,5.0,255.0,75.0,1/24/1987,8,2,HTX,2017.0
70.0,J Davenport,22,T,11,4.0,315.0,79.0,1/9/1995,0,3,HTX,2017.0
31.0,T Decoud,24,DB,10,0.0,205.0,74.0,8/1/1993,0,1,HTX,2017.0
23.0,K Drummond,25,S,15,0.0,200.0,73.0,1/29/1992,2,1,HTX,2017.0
92.0,B Dunn,25,DT,16,8.0,310.0,74.0,9/5/1992,3,4,HTX,2017.0
38.0,A Ellington,28,RB,4,2.0,200.0,69.0,2/3/1989,4,1,HTX,2017.0
12.0,B Ellington,26,WR,11,6.0,200.0,69.0,8/22/1991,3,3,HTX,2017.0
34.0,T Ervin,24,RB,4,0.0,185.0,70.0,10/7/1993,1,0,HTX,2017.0
7.0,K Fairbairn,23,PK,16,0.0,183.0,72.0,1/29/1994,0,2,HTX,2017.0
87.0,C Fiedorowicz,26,TE,5,5.0,265.0,77.0,10/22/1991,3,1,HTX,2017.0
27.0,D Foreman,21,RB,10,1.0,236.0,73.0,4/24/1996,0,2,HTX,2017.0
61.0,K Fuller,23,GC,9,2.0,320.0,77.0,3/4/1994,0,1,HTX,2017.0
